,Elambda,mu.1,Q.1,c.1,R1,R2,R3
20317,22.0,267.0,20.0,43.36666666666667,0,0,1
20318,22.0,267.0,25.0,48.13333333333333,0,0,1
20319,22.0,267.0,30.0,52.3,0,0,1
20320,22.0,267.0,35.0,57.4,0,0,1
20321,22.0,267.0,40.0,60.666666666666664,0,0,1
20322,22.0,267.0,45.0,68.2,0,0,1
20323,22.0,267.0,50.0,72.53333333333333,0,0,1
20324,22.0,267.0,55.0,77.66666666666667,0,0,1
20325,22.0,267.0,60.0,81.03333333333333,0,0,1
20326,22.0,267.0,65.0,87.46666666666667,0,0,1
20327,22.0,267.0,70.0,91.2,0,0,1
20328,22.0,267.0,75.0,96.2,0,0,1
20329,22.0,267.0,80.0,102.56666666666666,0,0,1
20330,22.0,267.0,85.0,106.93333333333334,0,0,1
20331,22.0,267.0,90.0,110.03333333333333,0,0,1
20332,22.0,267.0,95.0,116.63333333333334,0,0,1
20333,22.0,267.0,100.0,121.93333333333334,0,0,1
20334,22.0,267.0,105.0,126.63333333333334,0,0,1
20335,22.0,267.0,110.0,132.8,0,0,1
20336,22.0,267.0,115.0,137.53333333333333,0,0,1
20337,22.0,267.0,120.0,140.66666666666666,0,0,1
20338,22.0,267.0,125.0,147.2,0,0,1
20339,22.0,267.0,130.0,151.8,0,0,1
20340,22.0,267.0,135.0,158.03333333333333,0,0,1
20341,22.0,267.0,140.0,163.9,0,0,1
20342,22.0,267.0,145.0,167.56666666666666,0,0,1
20343,22.0,267.0,150.0,171.3,0,0,1
20344,22.0,267.0,155.0,177.33333333333334,0,0,1
20345,22.0,267.0,160.0,182.06666666666666,0,0,1
20346,22.0,267.0,165.0,187.3,0,0,1
20347,22.0,267.0,170.0,191.8,0,0,1
20348,22.0,267.0,175.0,195.8,0,0,1
20349,22.0,267.0,180.0,201.66666666666666,0,0,1
20350,22.0,267.0,185.0,206.8,0,0,1
20351,22.0,267.0,190.0,211.03333333333333,0,0,1
20352,22.0,267.0,195.0,215.6,0,0,1
20353,22.0,267.0,200.0,221.83333333333334,0,0,1
20354,22.0,267.0,205.0,228.46666666666667,0,0,1
20355,22.0,267.0,210.0,231.26666666666668,0,0,1
20356,22.0,267.0,215.0,237.16666666666666,0,0,1
20357,22.0,267.0,220.0,242.2,0,0,1
20358,22.0,267.0,225.0,246.76666666666668,0,0,1
20359,22.0,267.0,230.0,251.2,0,1,0
20360,22.0,267.0,235.0,253.53333333333333,0,1,0
20361,22.0,267.0,240.0,259.73333333333335,0,1,0
20362,22.0,267.0,245.0,260.3333333333333,0,1,0
20363,22.0,267.0,250.0,262.8666666666667,0,1,0
20364,22.0,267.0,255.0,264.76666666666665,0,1,0
20365,22.0,267.0,260.0,267.03333333333336,0,1,0
20366,22.0,267.0,265.0,266.8,1,0,0
20367,22.0,267.0,270.0,261.23333333333335,1,0,0
20368,22.0,267.0,275.0,271.8666666666667,1,0,0
20369,22.0,267.0,280.0,266.76666666666665,1,0,0
20370,22.0,267.0,285.0,266.56666666666666,1,0,0
20371,22.0,267.0,290.0,263.96666666666664,1,0,0
20372,22.0,267.0,295.0,272.56666666666666,1,0,0
20373,22.0,267.0,300.0,263.3,1,0,0
24583,27.0,267.0,0.0,26.4,0,0,1
24584,27.0,267.0,5.0,32.8,0,0,1
24585,27.0,267.0,10.0,35.166666666666664,0,0,1
24586,27.0,267.0,15.0,40.56666666666667,0,0,1
24587,27.0,267.0,20.0,47.766666666666666,0,0,1
24588,27.0,267.0,25.0,51.666666666666664,0,0,1
24589,27.0,267.0,30.0,57.13333333333333,0,0,1
24590,27.0,267.0,35.0,62.266666666666666,0,0,1
24591,27.0,267.0,40.0,66.56666666666666,0,0,1
24592,27.0,267.0,45.0,72.76666666666667,0,0,1
24593,27.0,267.0,50.0,77.36666666666666,0,0,1
24594,27.0,267.0,55.0,82.8,0,0,1
24595,27.0,267.0,60.0,86.33333333333333,0,0,1
24596,27.0,267.0,65.0,92.16666666666667,0,0,1
24597,27.0,267.0,70.0,96.76666666666667,0,0,1
24598,27.0,267.0,75.0,101.76666666666667,0,0,1
24599,27.0,267.0,80.0,105.8,0,0,1
24600,27.0,267.0,85.0,111.3,0,0,1
24601,27.0,267.0,90.0,118.13333333333334,0,0,1
24602,27.0,267.0,95.0,122.23333333333333,0,0,1
24603,27.0,267.0,100.0,126.83333333333333,0,0,1
24604,27.0,267.0,105.0,131.56666666666666,0,0,1
24605,27.0,267.0,110.0,138.33333333333334,0,0,1
24606,27.0,267.0,115.0,141.5,0,0,1
24607,27.0,267.0,120.0,146.96666666666667,0,0,1
24608,27.0,267.0,125.0,150.7,0,0,1
24609,27.0,267.0,130.0,157.03333333333333,0,0,1
24610,27.0,267.0,135.0,161.6,0,0,1
24611,27.0,267.0,140.0,166.33333333333334,0,0,1
24612,27.0,267.0,145.0,171.86666666666667,0,0,1
24613,27.0,267.0,150.0,176.23333333333332,0,0,1
24614,27.0,267.0,155.0,181.73333333333332,0,0,1
24615,27.0,267.0,160.0,188.4,0,0,1
24616,27.0,267.0,165.0,191.56666666666666,0,0,1
24617,27.0,267.0,170.0,198.23333333333332,0,0,1
24618,27.0,267.0,175.0,202.06666666666666,0,0,1
24619,27.0,267.0,180.0,206.36666666666667,0,0,1
24620,27.0,267.0,185.0,211.93333333333334,0,0,1
24621,27.0,267.0,190.0,216.66666666666666,0,0,1
24622,27.0,267.0,195.0,221.03333333333333,0,0,1
24623,27.0,267.0,200.0,227.43333333333334,0,0,1
24624,27.0,267.0,205.0,232.23333333333332,0,0,1
24625,27.0,267.0,210.0,236.33333333333334,0,0,1
24626,27.0,267.0,215.0,242.0,0,0,1
24627,27.0,267.0,220.0,246.16666666666666,0,0,1
24628,27.0,267.0,225.0,249.4,0,1,0
24629,27.0,267.0,230.0,254.83333333333334,0,1,0
24630,27.0,267.0,235.0,258.06666666666666,0,1,0
24631,27.0,267.0,240.0,259.6666666666667,0,1,0
24632,27.0,267.0,245.0,261.56666666666666,0,1,0
24633,27.0,267.0,250.0,265.23333333333335,0,1,0
24634,27.0,267.0,255.0,266.46666666666664,0,1,0
24635,27.0,267.0,260.0,268.43333333333334,1,0,0
24636,27.0,267.0,265.0,266.03333333333336,1,0,0
24637,27.0,267.0,270.0,270.4,1,0,0
24638,27.0,267.0,275.0,270.8333333333333,1,0,0
24639,27.0,267.0,280.0,268.03333333333336,1,0,0
24640,27.0,267.0,285.0,268.43333333333334,1,0,0
24641,27.0,267.0,290.0,267.3333333333333,1,0,0
24642,27.0,267.0,295.0,264.2,1,0,0
24643,27.0,267.0,300.0,265.5,1,0,0
28853,32.0,267.0,0.0,32.5,0,0,1
28854,32.0,267.0,5.0,37.36666666666667,0,0,1
28855,32.0,267.0,10.0,43.266666666666666,0,0,1
28856,32.0,267.0,15.0,46.4,0,0,1
28857,32.0,267.0,20.0,49.7,0,0,1
28858,32.0,267.0,25.0,56.53333333333333,0,0,1
28859,32.0,267.0,30.0,62.1,0,0,1
28860,32.0,267.0,35.0,65.2,0,0,1
28861,32.0,267.0,40.0,70.7,0,0,1
28862,32.0,267.0,45.0,76.53333333333333,0,0,1
28863,32.0,267.0,50.0,81.4,0,0,1
28864,32.0,267.0,55.0,87.56666666666666,0,0,1
28865,32.0,267.0,60.0,92.03333333333333,0,0,1
28866,32.0,267.0,65.0,98.16666666666667,0,0,1
28867,32.0,267.0,70.0,105.03333333333333,0,0,1
28868,32.0,267.0,75.0,108.23333333333333,0,0,1
28869,32.0,267.0,80.0,113.36666666666666,0,0,1
28870,32.0,267.0,85.0,117.43333333333334,0,0,1
28871,32.0,267.0,90.0,121.2,0,0,1
28872,32.0,267.0,95.0,126.96666666666667,0,0,1
28873,32.0,267.0,100.0,133.16666666666666,0,0,1
28874,32.0,267.0,105.0,136.9,0,0,1
28875,32.0,267.0,110.0,142.56666666666666,0,0,1
28876,32.0,267.0,115.0,145.0,0,0,1
28877,32.0,267.0,120.0,151.83333333333334,0,0,1
28878,32.0,267.0,125.0,156.83333333333334,0,0,1
28879,32.0,267.0,130.0,163.3,0,0,1
28880,32.0,267.0,135.0,167.46666666666667,0,0,1
28881,32.0,267.0,140.0,170.26666666666668,0,0,1
28882,32.0,267.0,145.0,176.7,0,0,1
28883,32.0,267.0,150.0,183.3,0,0,1
28884,32.0,267.0,155.0,186.26666666666668,0,0,1
28885,32.0,267.0,160.0,192.26666666666668,0,0,1
28886,32.0,267.0,165.0,197.86666666666667,0,0,1
28887,32.0,267.0,170.0,203.6,0,0,1
28888,32.0,267.0,175.0,206.23333333333332,0,0,1
28889,32.0,267.0,180.0,211.63333333333333,0,0,1
28890,32.0,267.0,185.0,218.83333333333334,0,0,1
28891,32.0,267.0,190.0,222.26666666666668,0,0,1
28892,32.0,267.0,195.0,227.3,0,0,1
28893,32.0,267.0,200.0,229.26666666666668,0,0,1
28894,32.0,267.0,205.0,234.33333333333334,0,0,1
28895,32.0,267.0,210.0,240.1,0,0,1
28896,32.0,267.0,215.0,246.13333333333333,0,0,1
28897,32.0,267.0,220.0,248.16666666666666,0,1,0
28898,32.0,267.0,225.0,253.63333333333333,0,1,0
28899,32.0,267.0,230.0,257.3333333333333,0,1,0
28900,32.0,267.0,235.0,261.03333333333336,0,1,0
28901,32.0,267.0,240.0,262.1666666666667,0,1,0
28902,32.0,267.0,245.0,264.5,0,1,0
28903,32.0,267.0,250.0,259.03333333333336,0,1,0
28904,32.0,267.0,255.0,265.8666666666667,1,0,0
28905,32.0,267.0,260.0,263.8,1,0,0
28906,32.0,267.0,265.0,270.73333333333335,1,0,0
28907,32.0,267.0,270.0,269.8,1,0,0
28908,32.0,267.0,275.0,263.6666666666667,1,0,0
28909,32.0,267.0,280.0,268.0,1,0,0
28910,32.0,267.0,285.0,267.1333333333333,1,0,0
28911,32.0,267.0,290.0,272.03333333333336,1,0,0
28912,32.0,267.0,295.0,269.0,1,0,0
28913,32.0,267.0,300.0,270.26666666666665,1,0,0
33123,37.0,267.0,0.0,35.86666666666667,0,0,1
33124,37.0,267.0,5.0,41.63333333333333,0,0,1
33125,37.0,267.0,10.0,44.93333333333333,0,0,1
33126,37.0,267.0,15.0,51.266666666666666,0,0,1
33127,37.0,267.0,20.0,56.56666666666667,0,0,1
33128,37.0,267.0,25.0,62.36666666666667,0,0,1
33129,37.0,267.0,30.0,66.63333333333334,0,0,1
33130,37.0,267.0,35.0,72.83333333333333,0,0,1
33131,37.0,267.0,40.0,77.06666666666666,0,0,1
33132,37.0,267.0,45.0,80.73333333333333,0,0,1
33133,37.0,267.0,50.0,87.6,0,0,1
33134,37.0,267.0,55.0,90.76666666666667,0,0,1
33135,37.0,267.0,60.0,95.3,0,0,1
33136,37.0,267.0,65.0,102.2,0,0,1
33137,37.0,267.0,70.0,106.13333333333334,0,0,1
33138,37.0,267.0,75.0,111.7,0,0,1
33139,37.0,267.0,80.0,117.03333333333333,0,0,1
33140,37.0,267.0,85.0,121.96666666666667,0,0,1
33141,37.0,267.0,90.0,127.56666666666666,0,0,1
33142,37.0,267.0,95.0,131.76666666666668,0,0,1
33143,37.0,267.0,100.0,136.5,0,0,1
33144,37.0,267.0,105.0,142.83333333333334,0,0,1
33145,37.0,267.0,110.0,147.86666666666667,0,0,1
33146,37.0,267.0,115.0,151.86666666666667,0,0,1
33147,37.0,267.0,120.0,157.56666666666666,0,0,1
33148,37.0,267.0,125.0,163.13333333333333,0,0,1
33149,37.0,267.0,130.0,167.43333333333334,0,0,1
33150,37.0,267.0,135.0,172.66666666666666,0,0,1
33151,37.0,267.0,140.0,177.26666666666668,0,0,1
33152,37.0,267.0,145.0,180.73333333333332,0,0,1
33153,37.0,267.0,150.0,186.46666666666667,0,0,1
33154,37.0,267.0,155.0,191.93333333333334,0,0,1
33155,37.0,267.0,160.0,197.43333333333334,0,0,1
33156,37.0,267.0,165.0,201.93333333333334,0,0,1
33157,37.0,267.0,170.0,207.6,0,0,1
33158,37.0,267.0,175.0,213.8,0,0,1
33159,37.0,267.0,180.0,216.93333333333334,0,0,1
33160,37.0,267.0,185.0,220.9,0,0,1
33161,37.0,267.0,190.0,227.23333333333332,0,0,1
33162,37.0,267.0,195.0,230.96666666666667,0,0,1
33163,37.0,267.0,200.0,235.46666666666667,0,0,1
33164,37.0,267.0,205.0,242.13333333333333,0,0,1
33165,37.0,267.0,210.0,247.1,0,0,1
33166,37.0,267.0,215.0,250.16666666666666,0,1,0
33167,37.0,267.0,220.0,252.8,0,1,0
33168,37.0,267.0,225.0,256.1666666666667,0,1,0
33169,37.0,267.0,230.0,258.73333333333335,0,1,0
33170,37.0,267.0,235.0,260.8333333333333,0,1,0
33171,37.0,267.0,240.0,263.3666666666667,0,1,0
33172,37.0,267.0,245.0,265.7,0,1,0
33173,37.0,267.0,250.0,265.93333333333334,1,0,0
33174,37.0,267.0,255.0,267.7,1,0,0
33175,37.0,267.0,260.0,265.1666666666667,1,0,0
33176,37.0,267.0,265.0,263.23333333333335,1,0,0
33177,37.0,267.0,270.0,270.5,1,0,0
33178,37.0,267.0,275.0,269.73333333333335,1,0,0
33179,37.0,267.0,280.0,264.6333333333333,1,0,0
33180,37.0,267.0,285.0,267.3666666666667,1,0,0
33181,37.0,267.0,290.0,270.1666666666667,1,0,0
33182,37.0,267.0,295.0,266.56666666666666,1,0,0
33183,37.0,267.0,300.0,267.5,1,0,0
37393,42.0,267.0,0.0,43.46666666666667,0,0,1
37394,42.0,267.0,5.0,46.5,0,0,1
37395,42.0,267.0,10.0,51.7,0,0,1
37396,42.0,267.0,15.0,56.1,0,0,1
37397,42.0,267.0,20.0,62.53333333333333,0,0,1
37398,42.0,267.0,25.0,67.6,0,0,1
37399,42.0,267.0,30.0,70.03333333333333,0,0,1
37400,42.0,267.0,35.0,74.23333333333333,0,0,1
37401,42.0,267.0,40.0,82.23333333333333,0,0,1
37402,42.0,267.0,45.0,88.26666666666667,0,0,1
37403,42.0,267.0,50.0,91.63333333333334,0,0,1
